ID,LOCAL_AFFILIATE,formatted_address,latitude,longitude
0,"Catholic Social Services","Anchorage, AK, USA",61.2180556,-149.9002778
1,"Catholic Social Services Refugee Program","Mobile, AL, USA",30.6953657,-88.0398912
2,"Catholic Charities Immigration Services","Springdale, AR, USA",36.1867442,-94.1288141
3,"Arizona Immigrant and Refugee Services","Phoenix, AZ, USA",33.4483771,-112.0740373
7,"IRC Tucson AZ","Tucson, AZ, USA",32.2226066,-110.9747108
11,"East African Community Of Orange County","Anaheim, CA, USA",33.8365932,-117.9143012
12,"World Relief Garden Grove","Garden Grove, CA, USA",33.7742692,-117.9379952
13,"Immigration and Refugee Services","Glendale, CA, USA",34.1425078,-118.255075
16,"African Community Resource Center","Los Angeles, CA, USA",34.0522342,-118.2436849
20,"Jewish Family Service of Silicon Valley","Los Gatos, CA, USA",37.2358078,-121.9623751
21,"World Relief Modesto","Modesto, CA, USA",37.6390972,-120.9968782
22,"Catholic Charities","Oakland, CA, USA",37.8043637,-122.2711137
24,"IRC Sacramento","Sacramento, CA, USA",38.5815719,-121.4943996
28,"Catholic Charities","San Bernardino, CA, USA",34.1083449,-117.2897652
29,"Alliance for African Assistance","San Diego, CA, USA",32.715738,-117.1610838
33,"Jewish Family & Children's Services Of San Franciso","San Francisco, CA, USA",37.7749295,-122.4194155
34,"IRC San Jose","San Jose, CA, USA",37.3382082,-121.8863286
36,"International Rescue Committee","Turlock, CA, USA",37.4946568,-120.8465941
37,"Jewish Family & Children's Services Of East Bay","Walnut Creek, CA, USA",37.9100783,-122.0651819
38,"Lutheran Family Services Rocky Mountains","Colorado Springs, CO, USA",38.8338816,-104.8213634
39,"ECDC African Community Center","Denver, CO, USA",39.7392358,-104.990251
41,"Lutheran Family Services Of Colorado","Greeley, CO, USA",40.4233142,-104.7091322
42,"Lutheran Social Services of Colorado","Lakewood, CO, USA",39.7047095,-105.0813734
43,"International Institute of Connecticut","Bridgeport, CT, USA",41.1792258,-73.1894384
44,"Catholic Charities Migration & Refugee Services","Hartford, CT, USA",41.7658043,-72.6733723
45,"Integrated Refugee And Immigrant Services (IRIS)","New Haven, CT, USA",41.308274,-72.9278835
46,"Catholic Charities of Diocese of Washington","Washington, DC, USA",38.9071923,-77.0368707
47,"Catholic Charities","Wilmington, DE, USA",39.744655,-75.5483909
48,"Coptic Orthodox Charities","Clearwater, FL, USA",27.9658533,-82.8001026
50,"Church World Service/West Palm Beach","Delray Beach, FL, USA",26.4614625,-80.0728201
51,"Church World Service/Miami","Doral, FL, USA",25.8195424,-80.3553302
52,"Catholic Charities Bureau Inc.","Jacksonville, FL, USA",30.3321838,-81.655651
55,"Catholic Charities of the Archdiocese of Miami Inc.","Miami, FL, USA",25.7616798,-80.1917902
61,"Episcopal Migration Ministries","Miami Springs, FL, USA",25.8223198,-80.289495
62,"Catholic Charities Diocese of Venice FL","Naples, FL, USA",26.1420358,-81.7948103
63,"Catholic Charities Diocese of Venice FL","North Port, FL, USA",27.044224,-82.2359254
64,"Catholic Charities of Central Flordia Inc.","Orlando, FL, USA",28.5383355,-81.3792365
66,"Youth Co-Op Inc. Palm Springs","Palm Springs, FL, USA",26.6359009,-80.0961538
67,"Catholic Charities of NW Florida Inc.","Pensacola, FL, USA",30.421309,-87.2169149
68,"Catholic Charities of Palm Beach Inc.","Riviera Beach, FL, USA",26.7753405,-80.0580969
69,"International Rescue Committee","Tallahassee, FL, USA",30.4382559,-84.2807329
70,"Catholic Charities/Immigration Services","Tampa, FL, USA",27.950575,-82.4571776
73,"IRC Atlanta","Atlanta, GA, USA",33.7489954,-84.3879824
76,"Refugee Resettlement & Immigration Services of Atlanta","Decatur, GA 30030, USA",33.7748275,-84.2963123
77,"World Relief Atlanta","Stone Mountain, GA, USA",33.8081608,-84.170196
78,"Pacific Gateway Center","Honolulu, HI, USA",21.3069444,-157.8583333
79,"Catholic Charities","Cedar Rapids, IA, USA",41.9778795,-91.6656232
80,"Catholic Charities","Des Moines, IA, USA",41.5868353,-93.6249593
82,"Agency for New Americans","Boise, ID, USA",43.6150186,-116.2023137
85,"College of Southern Idaho Refugee Programs","Twin Falls, ID, USA",42.5558381,-114.4700518
86,"World Relief Aurora","Aurora, IL, USA",41.7605849,-88.3200715
87,"Catholic Charities","Chicago, IL, USA",41.8781136,-87.6297982
